Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17431-28181,RB,Le'Veon,,Bell,23.3249994913737,12,10000,CLE@PIT,PIT,CLE,,
17431-62497,RB,David,,Johnson,24.1266662597656,15,9300,ARI@LA,ARI,LA,,
17431-6498,QB,Tom,,Brady,21.3563634699041,11,9100,NE@MIA,NE,MIA,,
17431-6779,RB,LeSean,,McCoy,19.3714294433594,14,9100,BUF@NYJ,BUF,NYJ,,
17431-31360,WR,Odell,,Beckham Jr.,15.9466664632161,15,8800,NYG@WAS,NYG,WAS,,
17431-6894,QB,Aaron,,Rodgers,23.5213338216146,15,8800,GB@DET,GB,DET,,
17431-38791,RB,Ezekiel,,Elliott,20.5500008719308,14,8800,DAL@PHI,DAL,PHI,,
17431-6616,QB,Matt,,Ryan,21.6679992675781,15,8700,NO@ATL,ATL,NO,,
17431-11612,WR,Antonio,,Brown,16.9533335367839,15,8500,CLE@PIT,PIT,CLE,,
17431-21939,QB,Andrew,,Luck,21.5114288330078,14,8400,JAC@IND,IND,JAC,,
17431-32384,WR,Mike,,Evans,16.0733337402344,15,8400,CAR@TB,TB,CAR,,
17431-6589,QB,Ben,,Roethlisberger,18.9400002615792,14,8300,CLE@PIT,PIT,CLE,,
17431-14190,WR,Julio,,Jones,15.3307694655198,13,8300,NO@ATL,ATL,NO,,
17431-6504,QB,Drew,,Brees,21.7546671549479,15,8200,NO@ATL,NO,ATL,,
17431-6893,WR,Jordy,,Nelson,16.440000406901,15,8200,GB@DET,GB,DET,,
17431-24920,RB,Devonta,,Freeman,15.3933329264323,15,8000,NO@ATL,ATL,NO,,
17431-6654,QB,Matthew,,Stafford,18.2428567068917,14,8000,GB@DET,DET,GB,,
17431-28900,RB,Melvin,,Gordon,17.7000004695012,13,7900,KC@SD,SD,KC,Q,Hip
17431-22038,QB,Kirk,,Cousins,19.9199991861979,15,7900,NYG@WAS,WAS,NYG,,
17431-24849,QB,Jameis,,Winston,17.5480000813802,15,7800,CAR@TB,TB,CAR,,
17431-22031,WR,T.Y.,,Hilton,14.3866668701172,15,7800,JAC@IND,IND,JAC,,
17431-14185,QB,Cam,,Newton,18.3699994768415,14,7800,CAR@TB,CAR,TB,,
17431-14254,RB,DeMarco,,Murray,17.659999593099,15,7800,HOU@TEN,TEN,HOU,,
17431-14377,QB,Tyrod,,Taylor,18.4613342285156,15,7700,BUF@NYJ,BUF,NYJ,,
17431-7968,QB,Philip,,Rivers,17.5386657714844,15,7700,KC@SD,SD,KC,,
17431-31716,QB,Dak,,Prescott,18.894284929548,14,7700,DAL@PHI,DAL,PHI,,
17431-22015,QB,Russell,,Wilson,17.6893330891927,15,7600,SEA@SF,SEA,SF,,
17431-11779,RB,LeGarrette,,Blount,14.5533335367839,15,7600,NE@MIA,NE,MIA,,
17431-34308,QB,Blake,,Bortles,18.1639994303385,15,7600,JAC@IND,JAC,IND,,
17431-11435,WR,Dez,,Bryant,11.7818187366832,11,7500,DAL@PHI,DAL,PHI,Q,Back
17431-6826,QB,Eli,,Manning,15.5319997151693,15,7500,NYG@WAS,NYG,WAS,,
17431-29358,QB,Marcus,,Mariota,17.9293334960938,15,7500,HOU@TEN,TEN,HOU,O,Lower leg
17431-45859,QB,Derek,,Carr,18.2880004882813,15,7500,OAK@DEN,OAK,DEN,O,Lower leg
17431-42142,RB,Jordan,,Howard,14.4357147216797,14,7400,CHI@MIN,CHI,MIN,,
17431-28095,RB,Thomas,,Rawls,7.69999980926514,8,7400,SEA@SF,SEA,SF,Q,Shoulder
17431-6748,QB,Carson,,Palmer,16.851428440639,14,7400,ARI@LA,ARI,LA,,
17431-6714,QB,Joe,,Flacco,16.5200002034505,15,7300,BAL@CIN,BAL,CIN,,
17431-46882,RB,Jay,,Ajayi,13.7428567068917,14,7300,NE@MIA,MIA,NE,Q,Shoulder - ac joint
17431-14187,WR,A.J.,,Green,15.3399993896484,10,7300,BAL@CIN,CIN,BAL,Q,Hamstring
17431-14225,QB,Andy,,Dalton,17.0133331298828,15,7300,BAL@CIN,CIN,BAL,,
17431-16606,WR,DeAndre,,Hopkins,9.50666707356771,15,7200,HOU@TEN,HOU,TEN,,
17431-31459,RB,Spencer,,Ware,12.6642859322684,14,7200,KC@SD,KC,SD,Q,Ribs
17431-14231,QB,Colin,,Kaepernick,19.2240005493164,10,7200,SEA@SF,SF,SEA,,
17431-14626,WR,Doug,,Baldwin,13.4133331298828,15,7100,SEA@SF,SEA,SF,,
17431-29501,WR,Brandin,,Cooks,14.5642852783203,14,7100,NO@ATL,NO,ATL,,
17431-6739,WR,DeSean,,Jackson,10.5785718645368,14,7000,NYG@WAS,WAS,NYG,Q,Jaw
17431-30298,TE,Jordan,,Reed,11.372727134011,11,7000,NYG@WAS,WAS,NYG,Q,Shoulder
17431-28473,RB,Carlos,,Hyde,13.7384620079627,13,7000,SEA@SF,SF,SEA,O,Knee - mcl
17431-21980,WR,Alshon,,Jeffery,10.7818180431019,11,6900,CHI@MIN,CHI,MIN,,
17431-34331,RB,Latavius,,Murray,14.515384380634,13,6900,OAK@DEN,OAK,DEN,,
17431-6808,QB,Matt,,Moore,14.1800003051758,3,6900,NE@MIA,MIA,NE,,
17431-31397,RB,Jeremy,,Hill,11.0533335367839,15,6900,BAL@CIN,CIN,BAL,,
17431-70324,QB,Carson,,Wentz,13.8920003255208,15,6900,DAL@PHI,PHI,DAL,,
17431-6914,TE,Greg,,Olsen,10.9066670735677,15,6900,CAR@TB,CAR,TB,,
17431-33076,TE,Travis,,Kelce,11.9466664632161,15,6800,KC@SD,KC,SD,,
17431-24929,WR,Kelvin,,Benjamin,9.82000020345052,15,6800,CAR@TB,CAR,TB,,
17431-22037,RB,Lamar,,Miller,12.5428575788225,14,6800,HOU@TEN,HOU,TEN,Q,Ankle
17431-7859,WR,Julian,,Edelman,10.240000406901,15,6800,NE@MIA,NE,MIA,,
17431-28434,QB,Trevor,,Siemian,14.3846153846154,13,6800,OAK@DEN,DEN,OAK,,
17431-45889,WR,Davante,,Adams,12.6066670735677,15,6800,GB@DET,GB,DET,,
17431-29734,RB,Ty,,Montgomery,7.92142868041992,14,6700,GB@DET,GB,DET,,
17431-11414,QB,Sam,,Bradford,14.4985711233956,14,6700,CHI@MIN,MIN,CHI,,
17431-7659,QB,Ryan,,Fitzpatrick,10.3076923076923,13,6700,BUF@NYJ,NYJ,BUF,,
17431-33557,TE,Tyler,,Eifert,10.4875001907349,8,6700,BAL@CIN,CIN,BAL,IR,Back
17431-28573,WR,Michael,,Thomas,13.0785718645368,14,6700,NO@ATL,NO,ATL,,
17431-11432,WR,Demaryius,,Thomas,11.640000406901,15,6600,OAK@DEN,DEN,OAK,,
17431-25969,QB,Tom,,Savage,9.27000045776367,2,6600,HOU@TEN,HOU,TEN,,
17431-6883,WR,Larry,,Fitzgerald,11.8333333333333,15,6600,ARI@LA,ARI,LA,,
17431-8005,QB,Alex,,Smith,14.7585710797991,14,6600,KC@SD,KC,SD,,
17431-14320,RB,Bilal,,Powell,9.78666687011719,15,6600,BUF@NYJ,NYJ,BUF,,
17431-11505,WR,Emmanuel,,Sanders,11.540000406901,15,6500,OAK@DEN,DEN,OAK,,
17431-53681,WR,Tyreek,,Hill,11.459999593099,15,6500,KC@SD,KC,SD,,
17431-21970,RB,Doug,,Martin,9.8125,8,6500,CAR@TB,TB,CAR,,
17431-6703,RB,Adrian,,Peterson,2.5,3,6500,CHI@MIN,MIN,CHI,Q,Knee
17431-39716,WR,Adam,,Thielen,10.6333333333333,15,6500,CHI@MIN,MIN,CHI,,
17431-29605,QB,Matt,,Barkley,12.9399998982747,6,6500,CHI@MIN,CHI,MIN,,
17431-62535,WR,Tyrell,,Williams,11.4933329264323,15,6400,KC@SD,SD,KC,,
17431-27776,RB,Tevin,,Coleman,13.5166664123535,12,6400,NO@ATL,ATL,NO,,
17431-11512,TE,Jimmy,,Graham,9.89333292643229,15,6400,SEA@SF,SEA,SF,,
17431-31001,WR,Amari,,Cooper,11.8666666666667,15,6400,OAK@DEN,OAK,DEN,,
17431-38435,QB,Jared,,Goff,9.22666676839193,6,6400,ARI@LA,LA,ARI,,
17431-30447,RB,Todd,,Gurley,11.1333333333333,15,6400,ARI@LA,LA,ARI,,
17431-31874,RB,Kenneth,,Farrow,3.07000007629395,10,6300,KC@SD,SD,KC,IR,Shoulder
17431-33260,WR,DeVante,,Parker,8.52857153756278,14,6300,NE@MIA,MIA,NE,,
17431-31394,WR,Jarvis,,Landry,11.0799997965495,15,6300,NE@MIA,MIA,NE,,
17431-29593,WR,Marqise,,Lee,9.02000020345052,15,6300,JAC@IND,JAC,IND,,
17431-21941,QB,Robert,,Griffin III,12.9899997711182,4,6200,CLE@PIT,CLE,PIT,Q,Concussion
17431-6733,RB,Jonathan,,Stewart,10.7249997456869,12,6200,CAR@TB,CAR,TB,,
