"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17517-28181","RB","Le'Veon","","Bell","23.3249994913737","12","10300","MIA@PIT","PIT","MIA","","","",""
"17517-11612","WR","Antonio","","Brown","16.953333536783855","15","9100","MIA@PIT","PIT","MIA","","","",""
"17517-31360","WR","Odell","","Beckham Jr.","15.381250381469727","16","8900","NYG@GB","NYG","GB","","","",""
"17517-6894","QB","Aaron","","Rodgers","24.188749313354492","16","8600","NYG@GB","GB","NYG","","","",""
"17517-6589","QB","Ben","","Roethlisberger","18.94000026157924","14","8500","MIA@PIT","PIT","MIA","","","",""
"17517-6893","WR","Jordy","","Nelson","16.012500762939453","16","8500","NYG@GB","GB","NYG","","","",""
"17517-46882","RB","Jay","","Ajayi","13.453333536783854","15","8300","MIA@PIT","MIA","PIT","","","",""
"17517-22015","QB","Russell","","Wilson","17.50374984741211","16","7700","DET@SEA","SEA","DET","","","",""
"17517-6826","QB","Eli","","Manning","15.011249542236328","16","7500","NYG@GB","NYG","GB","","","",""
"17517-6654","QB","Matthew","","Stafford","18.111249923706055","16","7200","DET@SEA","DET","SEA","","","",""
"17517-28095","RB","Thomas","","Rawls","7.666666666666667","9","7100","DET@SEA","SEA","DET","","","",""
"17517-45889","WR","Davante","","Adams","13.074999809265137","16","7000","NYG@GB","GB","NYG","","","",""
"17517-14626","WR","Doug","","Baldwin","12.912500381469727","16","6900","DET@SEA","SEA","DET","","","",""
"17517-6808","QB","Matt","","Moore","14.4350004196167","4","6900","MIA@PIT","MIA","PIT","","","",""
"17517-29734","RB","Ty","","Montgomery","7.9","15","6800","NYG@GB","GB","NYG","","","",""
"17517-11512","TE","Jimmy","","Graham","9.800000190734863","16","6600","DET@SEA","SEA","DET","","","",""
"17517-31394","WR","Jarvis","","Landry","11.518750190734863","16","6400","MIA@PIT","MIA","PIT","","","",""
"17517-62616","RB","Zach","","Zenner","7.636363636363637","11","6200","DET@SEA","DET","SEA","","","",""
"17517-11485","WR","Golden","","Tate","11.100000381469727","16","6100","DET@SEA","DET","SEA","","","",""
"17517-32514","QB","Trevone","","Boykin","2.2249999046325684","4","6000","DET@SEA","SEA","DET","","","",""
"17517-27405","QB","Landry","","Jones","5.131428309849331","7","6000","MIA@PIT","PIT","MIA","","","",""
"17517-21948","QB","Ryan","","Tannehill","15.553845919095552","13","6000","MIA@PIT","MIA","PIT","O","Knee","",""
"17517-33260","WR","DeVante","","Parker","8.426666768391927","15","6000","MIA@PIT","MIA","PIT","","","",""
"17517-22047","TE","Ladarius","","Green","7.566666920979817","6","5900","MIA@PIT","PIT","MIA","Q","Concussion","",""
"17517-29866","RB","Paul","","Perkins","5.330769465519832","13","5900","NYG@GB","NYG","GB","","","",""
"17517-40843","RB","Alex","","Collins","3.3777777353922525","9","5800","DET@SEA","SEA","DET","","","",""
"17517-25272","TE","Eric","","Ebron","8.746153611403246","13","5700","DET@SEA","DET","SEA","","","",""
"17517-22103","WR","Marvin","","Jones Jr.","9.653333536783855","15","5500","DET@SEA","DET","SEA","","","",""
"17517-8052","RB","Rashad","","Jennings","9.300000117375301","13","5400","NYG@GB","NYG","GB","","","",""
"17517-14257","WR","Randall","","Cobb","9.1000002347506","13","5300","NYG@GB","GB","NYG","Q","Ankle","",""
"17517-52560","WR","Geronimo","","Allison","5.4571429661342075","7","5200","NYG@GB","GB","NYG","","","",""
"17517-7761","TE","Jared","","Cook","5.670000076293945","10","5200","NYG@GB","GB","NYG","","","",""
"17517-12550","D","Seattle","","Seahawks","7.4375","16","5100","DET@SEA","SEA","DET","","","",""
"17517-30989","RB","Kenyan","","Drake","3.4615384615384617","13","5100","MIA@PIT","MIA","PIT","","","",""
"17517-27477","WR","Sterling","","Shepard","9.493749618530273","16","5100","NYG@GB","NYG","GB","","","",""
"17517-26141","QB","Ryan","","Nassib","6.71999979019165","1","5000","NYG@GB","NYG","GB","IR","Elbow","",""
"17517-70446","QB","Joe","","Callahan","0","0","5000","NYG@GB","GB","NYG","","","",""
"17517-27457","WR","Kenny","","Stills","9.225000381469727","16","5000","MIA@PIT","MIA","PIT","","","",""
"17517-27982","QB","Jake","","Rudock","0","0","5000","DET@SEA","DET","SEA","","","",""
"17517-8023","QB","Josh","","Johnson","0","0","5000","NYG@GB","NYG","GB","","","",""
"17517-8071","QB","Dan","","Orlovsky","5.519999980926514","2","5000","DET@SEA","DET","SEA","","","",""
"17517-47772","QB","Brandon","","Doughty","0","0","5000","MIA@PIT","MIA","PIT","","","",""
"17517-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","MIA@PIT","PIT","MIA","","","",""
"17517-44500","QB","Keith","","Wenning","0","0","5000","NYG@GB","NYG","GB","","","",""
"17517-29915","QB","Brett","","Hundley","-0.12999999523162842","4","5000","NYG@GB","GB","NYG","","","",""
"17517-33244","WR","Eli","","Rogers","7.846153846153846","13","5000","MIA@PIT","PIT","MIA","","","",""
"17517-28144","TE","Dion","","Sims","4.815384498009315","13","5000","MIA@PIT","MIA","PIT","","","",""
"17517-26877","QB","Jake","","Heaps","0","0","5000","DET@SEA","SEA","DET","","","",""
"17517-27441","RB","Damien","","Williams","5.46000010172526","15","4900","MIA@PIT","MIA","PIT","","","",""
"17517-6782","K","Matt","","Prater","9.25","16","4900","DET@SEA","DET","SEA","","","",""
"17517-32418","RB","Christine","","Michael","8.4","15","4900","NYG@GB","GB","NYG","","","",""
"17517-34729","RB","Dwayne","","Washington","3.972727342085405","11","4900","DET@SEA","DET","SEA","","","",""
"17517-27050","WR","Tyler","","Lockett","6.906666564941406","15","4900","DET@SEA","SEA","DET","IR","Leg","",""
"17517-22219","WR","Jermaine","","Kearse","4.84375","16","4900","DET@SEA","SEA","DET","","","",""
"17517-6479","WR","Anquan","","Boldin","8.743749618530273","16","4800","DET@SEA","DET","SEA","","","",""
